Name,Age,Photo,Nationality,Flag,Overall,Potential,Club,Club Logo,Value,Wage,fullName,age_group
Federico Valverde,20,https://cdn.sofifa.com/players/239/053/20_60.png,Uruguay,https://cdn.sofifa.com/flags/uy.png,82,90,Real Madrid,https://cdn.sofifa.com/teams/243/light_30.png,€32.5M,€125K,Federico Valverde,Age: 20-25
Sergej Milinković-Savić,24,https://cdn.sofifa.com/players/223/848/20_60.png,Serbia,https://cdn.sofifa.com/flags/rs.png,85,90,Lazio,https://cdn.sofifa.com/teams/46/light_30.png,€50.5M,€73K,Sergej Milinković-Savić,Age: 20-25
Leroy Sané,23,https://cdn.sofifa.com/players/222/492/20_60.png,Germany,https://cdn.sofifa.com/flags/de.png,86,90,Manchester City,https://cdn.sofifa.com/teams/10/light_30.png,€58M,€195K,Leroy Sané,Age: 20-25
Sergio Agüero,31,https://cdn.sofifa.com/players/153/079/20_60.png,Argentina,https://cdn.sofifa.com/flags/ar.png,90,90,Manchester City,https://cdn.sofifa.com/teams/10/light_30.png,€69M,€310K,Sergio Agüero,Age: 30-35
Raheem Sterling,24,https://cdn.sofifa.com/players/202/652/20_60.png,England,https://cdn.sofifa.com/flags/gb-eng.png,88,90,Manchester City,https://cdn.sofifa.com/teams/10/light_30.png,€73M,€250K,Raheem Sterling,Age: 20-25
Joshua Kimmich,24,https://cdn.sofifa.com/players/212/622/20_60.png,Germany,https://cdn.sofifa.com/flags/de.png,87,90,FC Bayern München,https://cdn.sofifa.com/teams/21/light_30.png,€58M,€135K,Joshua Kimmich,Age: 20-25
Clément Lenglet,24,https://cdn.sofifa.com/players/220/440/20_60.png,France,https://cdn.sofifa.com/flags/fr.png,86,90,FC Barcelona,https://cdn.sofifa.com/teams/241/light_30.png,€52M,€190K,Clément Lenglet,Age: 20-25
Kalidou Koulibaly,28,https://cdn.sofifa.com/players/201/024/20_60.png,Senegal,https://cdn.sofifa.com/flags/sn.png,88,90,Napoli,https://cdn.sofifa.com/teams/48/light_30.png,€60M,€140K,Kalidou Koulibaly,Age: 25-30
Niklas Süle,23,https://cdn.sofifa.com/players/212/190/20_60.png,Germany,https://cdn.sofifa.com/flags/de.png,85,90,FC Bayern München,https://cdn.sofifa.com/teams/21/light_30.png,€46.5M,€115K,Niklas Süle,Age: 20-25
Anssumane Fati,16,https://cdn.sofifa.com/players/253/004/20_60.png,Spain,https://cdn.sofifa.com/flags/es.png,73,90,FC Barcelona,https://cdn.sofifa.com/teams/241/light_30.png,€8M,€19K,Anssumane Fati,Below 20 years
Ousmane Dembélé,22,https://cdn.sofifa.com/players/231/443/20_60.png,France,https://cdn.sofifa.com/flags/fr.png,83,90,FC Barcelona,https://cdn.sofifa.com/teams/241/light_30.png,€36.5M,€175K,Ousmane Dembélé,Age: 20-25
Arthur Henrique,22,https://cdn.sofifa.com/players/230/658/20_60.png,Brazil,https://cdn.sofifa.com/flags/br.png,85,90,FC Barcelona,https://cdn.sofifa.com/teams/241/light_30.png,€50.5M,€190K,Arthur Henrique Ramos Oliveira Melo,Age: 20-25
Milan Škriniar,24,https://cdn.sofifa.com/players/232/363/20_60.png,Slovakia,https://cdn.sofifa.com/flags/sk.png,86,90,Inter,https://cdn.sofifa.com/teams/44/light_30.png,€52M,€89K,Milan Škriniar,Age: 20-25
Marcos Aoás,25,https://cdn.sofifa.com/players/207/865/20_60.png,Brazil,https://cdn.sofifa.com/flags/br.png,86,90,Paris Saint-Germain,https://cdn.sofifa.com/teams/73/light_30.png,€51.5M,€120K,Marcos Aoás Corrêa,Age: 25-30
Aymeric Laporte,25,https://cdn.sofifa.com/players/212/218/20_60.png,France,https://cdn.sofifa.com/flags/fr.png,87,90,Manchester City,https://cdn.sofifa.com/teams/10/light_30.png,€56.5M,€190K,Aymeric Laporte,Age: 25-30
Sadio Mané,27,https://cdn.sofifa.com/players/208/722/20_60.png,Senegal,https://cdn.sofifa.com/flags/sn.png,90,90,Liverpool,https://cdn.sofifa.com/teams/9/light_30.png,€80.5M,€240K,Sadio Mané,Age: 25-30
Mohamed Salah,27,https://cdn.sofifa.com/players/209/331/20_60.png,Egypt,https://cdn.sofifa.com/flags/eg.png,90,90,Liverpool,https://cdn.sofifa.com/teams/9/light_30.png,€80.5M,€240K,Mohamed Salah,Age: 25-30
Marcus Rashford,21,https://cdn.sofifa.com/players/231/677/20_60.png,England,https://cdn.sofifa.com/flags/gb-eng.png,84,89,Manchester United,https://cdn.sofifa.com/teams/11/light_30.png,€42M,€120K,Marcus Rashford,Age: 20-25
Manuel Neuer,33,https://cdn.sofifa.com/players/167/495/20_60.png,Germany,https://cdn.sofifa.com/flags/de.png,89,89,FC Bayern München,https://cdn.sofifa.com/teams/21/light_30.png,€36M,€160K,Manuel Neuer,Age: 30-35
José María,24,https://cdn.sofifa.com/players/216/460/20_60.png,Uruguay,https://cdn.sofifa.com/flags/uy.png,85,89,Atlético Madrid,https://cdn.sofifa.com/teams/240/light_30.png,€45M,€69K,José María Giménez,Age: 20-25
Bukayo Saka,17,https://cdn.sofifa.com/players/246/669/20_60.png,England,https://cdn.sofifa.com/flags/gb-eng.png,74,89,Arsenal,https://cdn.sofifa.com/teams/1/light_30.png,€11M,€8K,Bukayo Saka,Below 20 years
Dayot Upamecano,20,https://cdn.sofifa.com/players/229/558/20_60.png,France,https://cdn.sofifa.com/flags/fr.png,80,89,RB Leipzig,https://cdn.sofifa.com/teams/112172/light_30.png,€21M,€38K,Dayot Upamecano,Age: 20-25
Toni Kroos,29,https://cdn.sofifa.com/players/182/521/20_60.png,Germany,https://cdn.sofifa.com/flags/de.png,89,89,Real Madrid,https://cdn.sofifa.com/teams/243/light_30.png,€64M,€340K,Toni Kroos,Age: 25-30
Bruno Miguel,24,https://cdn.sofifa.com/players/212/198/20_60.png,Portugal,https://cdn.sofifa.com/flags/pt.png,86,89,Manchester United,https://cdn.sofifa.com/teams/11/light_30.png,€56.5M,€165K,Bruno Miguel Borges Fernandes,Age: 20-25
Phil Foden,19,https://cdn.sofifa.com/players/237/692/20_60.png,England,https://cdn.sofifa.com/flags/gb-eng.png,77,89,Manchester City,https://cdn.sofifa.com/teams/10/light_30.png,€15.5M,€56K,Phil Foden,Below 20 years
Luis Suárez,32,https://cdn.sofifa.com/players/176/580/20_60.png,Uruguay,https://cdn.sofifa.com/flags/uy.png,89,89,FC Barcelona,https://cdn.sofifa.com/teams/241/light_30.png,€53M,€350K,Luis Suárez,Age: 30-35
Pedro González,16,https://cdn.sofifa.com/players/251/854/20_60.png,Spain,https://cdn.sofifa.com/flags/es.png,72,89,UD Las Palmas,https://cdn.sofifa.com/teams/472/light_30.png,€6M,€1K,Pedro González López,Below 20 years
Raphaël Varane,26,https://cdn.sofifa.com/players/201/535/20_60.png,France,https://cdn.sofifa.com/flags/fr.png,86,89,Real Madrid,https://cdn.sofifa.com/teams/243/light_30.png,€49M,€220K,Raphaël Varane,Age: 25-30
Lucas Hernández,23,https://cdn.sofifa.com/players/220/814/20_60.png,France,https://cdn.sofifa.com/flags/fr.png,84,89,FC Bayern München,https://cdn.sofifa.com/teams/21/light_30.png,€37.5M,€105K,Lucas Hernández,Age: 20-25
Luka Modrić,33,https://cdn.sofifa.com/players/177/003/20_60.png,Croatia,https://cdn.sofifa.com/flags/hr.png,89,89,Real Madrid,https://cdn.sofifa.com/teams/243/light_30.png,€39M,€320K,Luka Modrić,Age: 30-35
Carlos Henrique,27,https://cdn.sofifa.com/players/200/145/20_60.png,Brazil,https://cdn.sofifa.com/flags/br.png,88,89,Real Madrid,https://cdn.sofifa.com/teams/243/light_30.png,€61M,€280K,Carlos Henrique Venancio Casimiro,Age: 25-30
Mason Greenwood,17,https://cdn.sofifa.com/players/246/147/20_60.png,England,https://cdn.sofifa.com/flags/gb-eng.png,74,89,Manchester United,https://cdn.sofifa.com/teams/11/light_30.png,€11M,€17K,Mason Greenwood,Below 20 years
Alessio Romagnoli,24,https://cdn.sofifa.com/players/210/413/20_60.png,Italy,https://cdn.sofifa.com/flags/it.png,83,89,Milan,https://cdn.sofifa.com/teams/47/light_30.png,€32M,€46K,Alessio Romagnoli,Age: 20-25
Malcom Filipe,21,https://cdn.sofifa.com/players/222/737/19_60.png,Brazil,https://cdn.sofifa.com/flags/br.png,82,89,FC Barcelona,https://cdn.sofifa.com/teams/241/light_30.png,€31M,€140K,Malcom Filipe Silva de Oliveira,Age: 20-25
André Onana,23,https://cdn.sofifa.com/players/226/753/20_60.png,Cameroon,https://cdn.sofifa.com/flags/cm.png,85,89,Ajax,https://cdn.sofifa.com/teams/245/light_30.png,€37M,€24K,André Onana,Age: 20-25
Houssem Aouar,21,https://cdn.sofifa.com/players/234/906/20_60.png,France,https://cdn.sofifa.com/flags/fr.png,81,89,Olympique Lyonnais,https://cdn.sofifa.com/teams/66/light_30.png,€26M,€59K,Houssem Aouar,Age: 20-25
N'Golo Kanté,28,https://cdn.sofifa.com/players/215/914/20_60.png,France,https://cdn.sofifa.com/flags/fr.png,89,89,Chelsea,https://cdn.sofifa.com/teams/5/light_30.png,€59.5M,€230K,N'Golo Kanté,Age: 25-30
Fabián Ruiz,23,https://cdn.sofifa.com/players/226/271/20_60.png,Spain,https://cdn.sofifa.com/flags/es.png,83,89,Napoli,https://cdn.sofifa.com/teams/48/light_30.png,€35M,€76K,Fabián Ruiz Peña,Age: 20-25
Mikel Oyarzabal,22,https://cdn.sofifa.com/players/230/142/20_60.png,Spain,https://cdn.sofifa.com/flags/es.png,83,89,Real Sociedad,https://cdn.sofifa.com/teams/457/light_30.png,€35.5M,€43K,Mikel Oyarzabal Ugarte,Age: 20-25
Thibaut Courtois,27,https://cdn.sofifa.com/players/192/119/20_60.png,Belgium,https://cdn.sofifa.com/flags/be.png,88,89,Real Madrid,https://cdn.sofifa.com/teams/243/light_30.png,€48M,€230K,Thibaut Courtois,Age: 25-30
Timo Werner,23,https://cdn.sofifa.com/players/212/188/20_60.png,Germany,https://cdn.sofifa.com/flags/de.png,86,89,RB Leipzig,https://cdn.sofifa.com/teams/112172/light_30.png,€57.5M,€92K,Timo Werner,Age: 20-25
Andrew Robertson,25,https://cdn.sofifa.com/players/216/267/20_60.png,Scotland,https://cdn.sofifa.com/flags/gb-sct.png,86,89,Liverpool,https://cdn.sofifa.com/teams/9/light_30.png,€49M,€135K,Andrew Robertson,Age: 25-30
Joe Gomez,22,https://cdn.sofifa.com/players/225/100/20_60.png,England,https://cdn.sofifa.com/flags/gb-eng.png,82,89,Liverpool,https://cdn.sofifa.com/teams/9/light_30.png,€28M,€85K,Joe Gomez,Age: 20-25
Sergio Ramos,33,https://cdn.sofifa.com/players/155/862/20_60.png,Spain,https://cdn.sofifa.com/flags/es.png,89,89,Real Madrid,https://cdn.sofifa.com/teams/243/light_30.png,€31.5M,€300K,Sergio Ramos García,Age: 30-35
Daniel Olmo,21,https://cdn.sofifa.com/players/244/260/20_60.png,Spain,https://cdn.sofifa.com/flags/es.png,80,89,RB Leipzig,https://cdn.sofifa.com/teams/112172/light_30.png,€23M,€43K,Daniel Olmo Carvajal,Age: 20-25
Saúl Ñíguez,24,https://cdn.sofifa.com/players/208/421/20_60.png,Spain,https://cdn.sofifa.com/flags/es.png,85,89,Atlético Madrid,https://cdn.sofifa.com/teams/240/light_30.png,€49.5M,€77K,Saúl Ñíguez Esclápez,Age: 20-25
Aaron Wan-Bissaka,21,https://cdn.sofifa.com/players/229/880/20_60.png,England,https://cdn.sofifa.com/flags/gb-eng.png,82,89,Manchester United,https://cdn.sofifa.com/teams/11/light_30.png,€28M,€87K,Aaron Wan-Bissaka,Age: 20-25
Antoine Griezmann,28,https://cdn.sofifa.com/players/194/765/20_60.png,France,https://cdn.sofifa.com/flags/fr.png,89,89,FC Barcelona,https://cdn.sofifa.com/teams/241/light_30.png,€69M,€370K,Antoine Griezmann,Age: 25-30
Francisco Mota,19,https://cdn.sofifa.com/players/244/778/20_60.png,Portugal,https://cdn.sofifa.com/flags/pt.png,75,88,SC Braga,https://cdn.sofifa.com/teams/1896/light_30.png,€12.5M,€9K,Francisco Mota Castro Trincão,Below 20 years
Ibrahima Konaté,20,https://cdn.sofifa.com/players/237/678/20_60.png,France,https://cdn.sofifa.com/flags/fr.png,79,88,RB Leipzig,https://cdn.sofifa.com/teams/112172/light_30.png,€18M,€36K,Ibrahima Konaté,Age: 20-25
Alphonso Davies,18,https://cdn.sofifa.com/players/234/396/20_60.png,Canada,https://cdn.sofifa.com/flags/ca.png,77,88,FC Bayern München,https://cdn.sofifa.com/teams/21/light_30.png,€12.5M,€21K,Alphonso Davies,Below 20 years
William Saliba,18,https://cdn.sofifa.com/players/243/715/20_60.png,France,https://cdn.sofifa.com/flags/fr.png,75,88,AS Saint-Étienne,https://cdn.sofifa.com/teams/1819/light_30.png,€11M,€8K,William Saliba,Below 20 years
Adam Hložek,16,https://cdn.sofifa.com/players/246/618/20_60.png,Czech Republic,https://cdn.sofifa.com/flags/cz.png,74,88,Sparta Praha,https://cdn.sofifa.com/teams/267/light_30.png,€11M,€500,Adam Hložek,Below 20 years
Gabriel Fernando,22,https://cdn.sofifa.com/players/230/666/20_60.png,Brazil,https://cdn.sofifa.com/flags/br.png,82,88,Manchester City,https://cdn.sofifa.com/teams/10/light_30.png,€31M,€135K,Gabriel Fernando de Jesus,Age: 20-25
David De,28,https://cdn.sofifa.com/players/193/080/20_60.png,Spain,https://cdn.sofifa.com/flags/es.png,88,88,Manchester United,https://cdn.sofifa.com/teams/11/light_30.png,€43.5M,€195K,David De Gea Quintana,Age: 25-30
Giorgio Chiellini,34,https://cdn.sofifa.com/players/138/956/20_60.png,Italy,https://cdn.sofifa.com/flags/it.png,88,88,Juventus,https://cdn.sofifa.com/teams/45/light_30.png,€22M,€200K,Giorgio Chiellini,Age: 30-35
Gerard Piqué,32,https://cdn.sofifa.com/players/152/729/20_60.png,Spain,https://cdn.sofifa.com/flags/es.png,88,88,FC Barcelona,https://cdn.sofifa.com/teams/241/light_30.png,€38M,€280K,Gerard Piqué Bernabeu,Age: 30-35
Mohamed Ihattaren,17,https://cdn.sofifa.com/players/246/960/20_60.png,Netherlands,https://cdn.sofifa.com/flags/nl.png,76,88,PSV,https://cdn.sofifa.com/teams/247/light_30.png,€12M,€2K,Mohamed Ihattaren,Below 20 years
Thiago Almada,18,https://cdn.sofifa.com/players/245/371/20_60.png,Argentina,https://cdn.sofifa.com/flags/ar.png,74,88,Vélez Sarsfield,https://cdn.sofifa.com/teams/101088/light_30.png,€11.5M,€5K,Thiago Almada,Below 20 years
Luka Jović,21,https://cdn.sofifa.com/players/232/432/20_60.png,Serbia,https://cdn.sofifa.com/flags/rs.png,82,88,Real Madrid,https://cdn.sofifa.com/teams/243/light_30.png,€31M,€140K,Luka Jović,Age: 20-25
Gabriel Teodoro,18,https://cdn.sofifa.com/players/251/566/20_60.png,Brazil,https://cdn.sofifa.com/flags/br.png,74,88,Arsenal,https://cdn.sofifa.com/teams/1/light_30.png,€11.5M,€26K,Gabriel Teodoro Martinelli Silva,Below 20 years
Martin Ødegaard,20,https://cdn.sofifa.com/players/222/665/20_60.png,Norway,https://cdn.sofifa.com/flags/no.png,82,88,Real Sociedad,https://cdn.sofifa.com/teams/457/light_30.png,€30.5M,€30K,Martin Ødegaard,Age: 20-25
Jonathan David,19,https://cdn.sofifa.com/players/243/630/20_60.png,Canada,https://cdn.sofifa.com/flags/ca.png,77,88,KAA Gent,https://cdn.sofifa.com/teams/674/light_30.png,€15M,€13K,Jonathan David,Below 20 years
Victor Osimhen,20,https://cdn.sofifa.com/players/232/293/20_60.png,Nigeria,https://cdn.sofifa.com/flags/ng.png,78,88,LOSC Lille,https://cdn.sofifa.com/teams/65/light_30.png,€17M,€33K,Victor Osimhen,Age: 20-25
Ferrán Torres,19,https://cdn.sofifa.com/players/241/461/20_60.png,Spain,https://cdn.sofifa.com/flags/es.png,79,88,Valencia CF,https://cdn.sofifa.com/teams/461/light_30.png,€19M,€22K,Ferrán Torres García,Below 20 years
Richarlison de,22,https://cdn.sofifa.com/players/231/943/20_60.png,Brazil,https://cdn.sofifa.com/flags/br.png,81,88,Everton,https://cdn.sofifa.com/teams/7/light_30.png,€25.5M,€90K,Richarlison de Andrade,Age: 20-25
Myron Boadu,18,https://cdn.sofifa.com/players/239/956/20_60.png,Netherlands,https://cdn.sofifa.com/flags/nl.png,75,88,AZ Alkmaar,https://cdn.sofifa.com/teams/1906/light_30.png,€12M,€5K,Myron Boadu,Below 20 years
Rúben Santos,22,https://cdn.sofifa.com/players/239/818/20_60.png,Portugal,https://cdn.sofifa.com/flags/pt.png,82,88,SL Benfica,https://cdn.sofifa.com/teams/234/light_30.png,€27.5M,€16K,Rúben Santos Gato Alves Dias,Age: 20-25
Callum Hudson-Odoi,18,https://cdn.sofifa.com/players/240/740/20_60.png,England,https://cdn.sofifa.com/flags/gb-eng.png,74,88,Chelsea,https://cdn.sofifa.com/teams/5/light_30.png,€11.5M,€31K,Callum Hudson-Odoi,Below 20 years
Nicolás Domínguez,21,https://cdn.sofifa.com/players/237/819/20_60.png,Argentina,https://cdn.sofifa.com/flags/ar.png,76,88,Bologna,https://cdn.sofifa.com/teams/189/light_30.png,€13.5M,€23K,Nicolás Domínguez,Age: 20-25
Leon Bailey,21,https://cdn.sofifa.com/players/229/906/20_60.png,Jamaica,https://cdn.sofifa.com/flags/jm.png,81,88,Bayer 04 Leverkusen,https://cdn.sofifa.com/teams/32/light_30.png,€25M,€54K,Leon Bailey,Age: 20-25
Julian Brandt,23,https://cdn.sofifa.com/players/212/194/20_60.png,Germany,https://cdn.sofifa.com/flags/de.png,84,88,Borussia Dortmund,https://cdn.sofifa.com/teams/22/light_30.png,€40.5M,€94K,Julian Brandt,Age: 20-25
Exequiel Palacios,20,https://cdn.sofifa.com/players/231/521/20_60.png,Argentina,https://cdn.sofifa.com/flags/ar.png,78,88,Bayer 04 Leverkusen,https://cdn.sofifa.com/teams/32/light_30.png,€16.5M,€43K,Exequiel Palacios,Age: 20-25
Ismaïla Sarr,21,https://cdn.sofifa.com/players/235/353/20_60.png,Senegal,https://cdn.sofifa.com/flags/sn.png,78,88,Watford,https://cdn.sofifa.com/teams/1795/light_30.png,€17M,€47K,Ismaïla Sarr,Age: 20-25
Marc Cucurella,20,https://cdn.sofifa.com/players/239/231/20_60.png,Spain,https://cdn.sofifa.com/flags/es.png,79,88,Getafe CF,https://cdn.sofifa.com/teams/1860/light_30.png,€19.5M,€21K,Marc Cucurella Saseta,Age: 20-25
Philipp Lahm,32,https://cdn.sofifa.com/players/121/939/17_60.png,Germany,https://cdn.sofifa.com/flags/de.png,88,88,FC Bayern München,https://cdn.sofifa.com/teams/21/light_30.png,€29.5M,€200K,Philipp Lahm,Age: 30-35
Wilfred Ndidi,22,https://cdn.sofifa.com/players/226/790/20_60.png,Nigeria,https://cdn.sofifa.com/flags/ng.png,84,88,Leicester City,https://cdn.sofifa.com/teams/95/light_30.png,€36.5M,€96K,Wilfred Ndidi,Age: 20-25
Wojciech Szczęsny,29,https://cdn.sofifa.com/players/186/153/20_60.png,Poland,https://cdn.sofifa.com/flags/pl.png,87,88,Juventus,https://cdn.sofifa.com/teams/45/light_30.png,€41M,€145K,Wojciech Szczęsny,Age: 25-30
Fábio Henrique,25,https://cdn.sofifa.com/players/209/499/20_60.png,Brazil,https://cdn.sofifa.com/flags/br.png,86,88,Liverpool,https://cdn.sofifa.com/teams/9/light_30.png,€49M,€135K,Fábio Henrique Tavares,Age: 25-30
Pau López,24,https://cdn.sofifa.com/players/221/087/20_60.png,Spain,https://cdn.sofifa.com/flags/es.png,83,88,Roma,https://cdn.sofifa.com/teams/52/light_30.png,€26M,€38K,Pau López Sabata,Age: 20-25
Emanuel Mammana,21,https://cdn.sofifa.com/players/221/551/18_60.png,Argentina,https://cdn.sofifa.com/flags/ar.png,77,88,Zenit St. Petersburg,https://cdn.sofifa.com/teams/100769/light_30.png,€13.5M,€40K,Emanuel Mammana,Age: 20-25
Dele Alli,23,https://cdn.sofifa.com/players/211/117/20_60.png,England,https://cdn.sofifa.com/flags/gb-eng.png,83,88,Tottenham Hotspur,https://cdn.sofifa.com/teams/18/light_30.png,€34.5M,€105K,Dele Alli,Age: 20-25
Thomas Strakosha,24,https://cdn.sofifa.com/players/212/151/20_60.png,Albania,https://cdn.sofifa.com/flags/al.png,83,88,Lazio,https://cdn.sofifa.com/teams/46/light_30.png,€26M,€43K,Thomas Strakosha,Age: 20-25
Karim Benzema,31,https://cdn.sofifa.com/players/165/153/20_60.png,France,https://cdn.sofifa.com/flags/fr.png,88,88,Real Madrid,https://cdn.sofifa.com/teams/243/light_30.png,€53M,€340K,Karim Benzema,Age: 30-35
